date;home_team;away_team;winner
12/11/2020;Serbia;Scotland;Scotland
03/06/2021;Mexico;Costa Rica;Mexico
06/06/2021;Honduras;Costa Rica;Honduras
28/06/2021;France;Switzerland;Switzerland
02/07/2021;Peru;Paraguay;Peru
02/07/2021;Switzerland;Spain;Spain
03/07/2021;Uruguay;Colombia;Colombia
06/07/2021;Italy;Spain;Italy
06/07/2021;Trinidad and Tobago;French Guiana;Trinidad and Tobago
06/07/2021;Argentina;Colombia;Argentina
06/07/2021;Guatemala;Guadeloupe;Guadeloupe
11/07/2021;England;Italy;Italy
16/07/2021;Senegal;Eswatini;Senegal
18/07/2021;Eswatini;Mozambique;Eswatini
18/07/2021;South Africa;Senegal;South Africa
19/11/2021;Sri Lanka;Seychelles;Seychelles
11/12/2021;Morocco;Algeria;Algeria
18/12/2021;Qatar;Egypt;Qatar
23/01/2022;Burkina Faso;Gabon;Burkina Faso
26/01/2022;Ivory Coast;Egypt;Egypt
26/01/2022;Mali;Equatorial Guinea;Equatorial Guinea
03/02/2022;Cameroon;Egypt;Egypt
05/02/2022;Cameroon;Burkina Faso;Cameroon
06/02/2022;Senegal;Egypt;Senegal
25/03/2022;Tajikistan;Uganda;Uganda
29/03/2022;Kazakhstan;Moldova;Kazakhstan
29/03/2022;Senegal;Egypt;Senegal
13/06/2022;Australia;Peru;Australia
14/06/2022;Chile;Ghana;Ghana
22/09/2022;Thailand;Malaysia;Malaysia
23/09/2022;Iraq;Oman;Oman
25/09/2022;Malaysia;Tajikistan;Tajikistan
16/11/2022;Lithuania;Iceland;Iceland
16/11/2022;Latvia;Estonia;Latvia
19/11/2022;Latvia;Iceland;Iceland
05/12/2022;Japan;Croatia;Croatia
06/12/2022;Morocco;Spain;Morocco
09/12/2022;Croatia;Brazil;Croatia
09/12/2022;Netherlands;Argentina;Argentina
18/12/2022;Argentina;France;Argentina
